,1,2,3
1,,2020 £ million ,2019 £ million 
2,Allowance for credit losses ,239.0 ,163.0 
3,Provision for off balance sheet exposures (note 30) ,19.2 ,2.6 
4,Combined on and off balance sheet - using weighted forecast ,258.2 ,165.6 
5,,,
6,Increase/(decrease) if a 100% weighting was applied to each scenario: ,,
7,Upside ,(50.0) ,(34.0) 
8,Base case ,(23.0) ,(29.0) 
9,Downside ,33.0 ,20.0 
10,Severe down - low rate ,177.0 ,208.0 
