,1,2,3,4,5,6
1,,,,,At 31 ,December 2020 
2,,Base case ,Upside ,,Downside ,Severe Downside 
3,Scenario weighting ,50% ,10 % ,,35 % ,5 % 
4,Unemployment Peak rate ,7.3 % ,6.1 % ,,8.7 % ,10.8 % 
5,House prices Peak-to-trough fall ,(11.8)% ,(6.9)% ,,(15.2)% ,(22.5)% 
6,Interest rates Most extreme rate(1 ,0.25 % ,1.25 % ,,0.0 % ,0.0 % 
